INFO:root:5032:XX found first (4, 4) is not 7 1
INFO:root:5032:XX found first (6, 7) is not 5 1
INFO:root:5032:XX found first (2, 5) is not 8 1
INFO:root:5032:XX found first (1, 8) is not 1 1
INFO:root:5032:XX found first (8, 4) is not 2 1
INFO:root:5032:XX found first (4, 1) is not 7 1
INFO:root:5032:XX found first (5, 2) is not 5 1
INFO:root:5032:XX found first (6, 5) is not 4 1
INFO:root:5032:XX found first (2, 2) is not 8 1
INFO:root:5032:XX found first (4, 7) is not 1 1
INFO:root:5032:XX found first (6, 1) is not 5 1
INFO:root:5032:XX found first (7, 3) is not 2 1
INFO:root:5032:XX found first (4, 2) is not 1 1
INFO:root:5032:XX found first (9, 1) is not 9 1
INFO:root:5032:XX found first (8, 1) is not 5 1
INFO:root:5032:XX found first (6, 7) is not 8 1
INFO:root:5032:XX found first (5, 7) is not 7 1
INFO:root:5032:XX found first (9, 8) is not 2 1
INFO:root:5032:XX found first (6, 9) is not 8 1
INFO:root:5032:XX found first (2, 8) is not 1 1
INFO:root:5032:XX found first (7, 5) is not 7 1
INFO:root:5032:XX found first (1, 8) is not 5 1
INFO:root:5032:XX found first (9, 8) is not 8 1
INFO:root:5033:XX found first (8, 7) is not 7 1
INFO:root:5033:XX found first (8, 6) is not 7 1
INFO:root:5033:XX found first (7, 2) is not 3 1
INFO:root:5033:XX found first (7, 2) is not 6 1
INFO:root:5033:XX found first (1, 5) is not 2 1
INFO:root:5033:XX found first (5, 2) is not 7 1
INFO:root:5033:XX found first (3, 8) is not 1 1
INFO:root:5033:XX found first (1, 2) is not 7 1
INFO:root:5033:XX found first (4, 7) is not 4 1
INFO:root:5033:XX found first (5, 8) is not 2 1
INFO:root:5033:XX found first (6, 3) is not 4 1
INFO:root:5033:XX found first (8, 6) is not 1 1
INFO:root:5033:XX found first (2, 3) is not 7 1
INFO:root:5033:XX found first (6, 3) is not 8 1
INFO:root:5033:XX found first (5, 3) is not 1 1
INFO:root:5033:XX found first (6, 8) is not 5 1
INFO:root:5033:XX found first (9, 4) is not 7 1
INFO:root:5033:XX found first (4, 7) is not 9 1
INFO:root:5033:XX found first (6, 8) is not 7 1
INFO:root:5033:XX found first (5, 6) is not 4 1
INFO:root:5033:XX found first (2, 1) is not 8 1
INFO:root:5033:XX found first (4, 8) is not 1 1
INFO:root:5033:XX found first (3, 1) is not 1 1
INFO:root:5033:XX found first (9, 2) is not 6 1
INFO:root:5034:XX found first (6, 1) is not 4 1
INFO:root:5034:XX found first (1, 6) is not 3 1
INFO:root:5034:XX found first (8, 2) is not 1 1
INFO:root:5034:XX found first (8, 4) is not 9 1
INFO:root:5034:XX found first (6, 6) is not 7 1
INFO:root:5034:XX found first (8, 3) is not 7 1
INFO:root:5034:XX found first (1, 3) is not 6 1
INFO:root:5034:XX found first (8, 5) is not 7 1
INFO:root:5034:XX found first (1, 6) is not 5 1
INFO:root:5034:XX found first (4, 8) is not 8 1
INFO:root:5034:XX found first (4, 9) is not 3 1
INFO:root:5034:XX found first (9, 4) is not 9 1
INFO:root:5034:XX found first (5, 9) is not 6 1
INFO:root:5034:XX found first (2, 2) is not 4 1
INFO:root:5034:XX found first (3, 6) is not 9 1
INFO:root:5034:XX found first (7, 6) is not 4 1
INFO:root:5034:XX found first (2, 9) is not 2 1
INFO:root:5034:XX found first (6, 3) is not 9 1
INFO:root:5034:XX found first (1, 1) is not 1 1
INFO:root:5034:XX found first (2, 7) is not 1 1
INFO:root:5034:XX found first (1, 2) is not 2 1
INFO:root:5034:XX found first (4, 9) is not 5 1
INFO:root:5034:XX found first (1, 9) is not 9 1
INFO:root:5034:XX found first (2, 5) is not 9 1
INFO:root:5035:XX found first (4, 3) is not 1 1
INFO:root:5035:XX found first (3, 1) is not 9 1
INFO:root:5035:XX found first (9, 4) is not 5 1
INFO:root:5035:XX found first (8, 4) is not 1 1
INFO:root:5035:XX found first (3, 5) is not 8 1
INFO:root:5035:XX found first (3, 3) is not 2 1
INFO:root:5035:XX found first (9, 9) is not 1 1
INFO:root:5035:XX found first (7, 8) is not 6 1
INFO:root:5035:XX found first (3, 2) is not 1 1
INFO:root:5035:XX found first (5, 2) is not 1 1
INFO:root:5035:XX found first (5, 5) is not 8 1
INFO:root:5035:XX found first (9, 5) is not 5 1
INFO:root:5035:XX found first (9, 9) is not 2 1
INFO:root:5035:XX found first (4, 9) is not 6 1
INFO:root:5035:XX found first (9, 5) is not 3 1
INFO:root:5035:XX found first (2, 5) is not 7 1
INFO:root:5035:XX found first (6, 2) is not 3 1
INFO:root:5035:XX found first (2, 9) is not 7 1
INFO:root:5035:XX found first (8, 6) is not 6 1
INFO:root:5035:XX found first (9, 2) is not 8 1
INFO:root:5035:XX found first (1, 3) is not 5 1
INFO:root:5035:XX found first (9, 1) is not 2 1
INFO:root:5035:XX found first (5, 1) is not 3 1
INFO:root:5036:XX found first (2, 4) is not 2 1
INFO:root:5036:XX found first (2, 1) is not 9 1
INFO:root:5036:XX found first (9, 5) is not 1 1
INFO:root:5036:XX found first (6, 2) is not 9 1
INFO:root:5036:XX found first (4, 8) is not 9 1
INFO:root:5036:XX found first (5, 3) is not 2 1
INFO:root:5036:XX found first (2, 1) is not 6 1
INFO:root:5036:XX found first (3, 9) is not 6 1
INFO:root:5036:XX found first (2, 6) is not 9 1
INFO:root:5036:XX found first (1, 7) is not 6 1
INFO:root:5036:XX found first (1, 8) is not 8 1
INFO:root:5036:XX found first (4, 5) is not 2 1
INFO:root:5036:XX found first (6, 7) is not 3 1
INFO:root:5036:XX found first (1, 1) is not 2 1
INFO:root:5036:XX found first (7, 9) is not 8 1
INFO:root:5036:XX found first (4, 6) is not 5 1
INFO:root:5036:XX found first (3, 9) is not 8 1
INFO:root:5036:XX found first (9, 2) is not 3 1
INFO:root:5036:XX found first (4, 2) is not 7 1
INFO:root:5036:XX found first (7, 5) is not 8 1
INFO:root:5036:XX found first (3, 2) is not 7 1
INFO:root:5036:XX found first (6, 8) is not 8 1
INFO:root:5036:XX found first (7, 8) is not 3 1
INFO:root:5036:XX found first (2, 2) is not 6 1
INFO:root:5037:XX found first (8, 3) is not 8 1
INFO:root:5037:XX found first (1, 7) is not 4 1
INFO:root:5037:XX found first (8, 8) is not 2 1
INFO:root:5037:XX found first (4, 9) is not 8 1
INFO:root:5037:XX found first (9, 8) is not 3 1
INFO:root:5037:XX found first (7, 2) is not 7 1
INFO:root:5037:XX found first (4, 3) is not 6 1
INFO:root:5037:XX found first (2, 6) is not 1 1
INFO:root:5037:XX found first (3, 8) is not 4 1
INFO:root:5037:XX found first (9, 6) is not 7 1
INFO:root:5037:XX found first (7, 1) is not 1 1
INFO:root:5037:XX found first (1, 1) is not 6 1
INFO:root:5037:XX found first (4, 3) is not 2 1
INFO:root:5037:XX found first (4, 6) is not 4 1
INFO:root:5037:XX found first (6, 2) is not 8 1
INFO:root:5037:XX found first (5, 3) is not 8 1
INFO:root:5037:XX found first (9, 3) is not 5 1
INFO:root:5037:XX found first (5, 2) is not 4 1
INFO:root:5037:XX found first (3, 4) is not 5 1
INFO:root:5037:XX found first (4, 2) is not 2 1
INFO:root:5037:XX found first (6, 8) is not 6 1
INFO:root:5037:XX found first (7, 3) is not 8 1
INFO:root:5037:XX found first (6, 2) is not 1 1
INFO:root:5037:XX found first (2, 2) is not 5 1
INFO:root:5038:XX found first (9, 2) is not 5 1
INFO:root:5038:XX found first (4, 6) is not 2 1
INFO:root:5038:XX found first (8, 4) is not 6 1
INFO:root:5038:XX found first (4, 2) is not 4 1
INFO:root:5038:XX found first (4, 9) is not 7 1
INFO:root:5038:XX found first (9, 9) is not 8 1
INFO:root:5038:XX found first (1, 5) is not 5 1
INFO:root:5038:XX found first (5, 9) is not 7 1
INFO:root:5038:XX found first (3, 8) is not 8 1
INFO:root:5038:XX found first (2, 7) is not 2 1
INFO:root:5038:XX found first (3, 5) is not 5 1
INFO:root:5038:XX found first (4, 7) is not 6 1
INFO:root:5038:XX found first (1, 5) is not 8 1
INFO:root:5038:XX found first (6, 5) is not 8 1
INFO:root:5038:XX found first (2, 4) is not 9 1
INFO:root:5038:XX found first (8, 2) is not 3 1
INFO:root:5038:XX found first (4, 9) is not 1 1
INFO:root:5038:XX found first (5, 1) is not 6 1
INFO:root:5038:XX found first (5, 1) is not 8 1
INFO:root:5038:XX found first (1, 9) is not 6 1
INFO:root:5038:XX found first (1, 3) is not 4 1
INFO:root:5038:XX found first (8, 9) is not 3 1
INFO:root:5038:XX found first (6, 1) is not 2 1
INFO:root:5038:XX found first (2, 8) is not 5 1
